x,y,z
4118,310,1981
3915,294,1973
3722,279,1964
3529,264,1949
3348,250,1935
3255,242,1969
4182,326,1984
3982,309,1979
3775,293,1966
3582,277,1953
3398,262,1939
3267,252,1950
4256,342,1991
4034,324,1978
3836,307,1970
3637,290,1955
3453,275,1943
3276,260,1929
4330,359,1996
4105,339,1984
3896,321,1973
3697,304,1960
3509,288,1948
3332,273,1935
4402,375,2000
4172,355,1987
3962,336,1977
3758,318,1964
3568,301,1952
3392,286,1942
4487,393,2008
4242,371,1990
4022,350,1978
3815,332,1965
3627,315,1956
3442,298,1943
4573,410,2015
4325,387,1999
4094,366,1983
3887,346,1972
3685,328,1958
3504,311,1949
4657,428,2019
4405,403,2004
4164,381,1986
3943,360,1971
3745,341,1960
3563,324,1952
4745,445,2024
4495,421,2013
4238,396,1990
4017,374,1977
3814,355,1966
3627,337,1957
4831,463,2027
4577,437,2016
4323,412,1998
4092,389,1982
3888,369,1973
3689,349,1960
4936,482,2035
4673,455,2024
4408,428,2004
4166,404,1985
3951,382,1973
3759,363,1966
5037,501,2040
4767,473,2029
4504,445,2013
4250,419,1992
4024,396,1977
3827,376,1969
5155,521,2051
4853,489,2030
4589,461,2016
4339,435,2000
4103,411,1982
3899,390,1973
5274,542,2060
4961,508,2038
4683,478,2021
4432,452,2008
4186,426,1989
3968,402,1975
5384,561,2064
5073,527,2047
4780,495,2027
4519,467,2012
4276,441,1996
4043,416,1979
5517,582,2075
5187,546,2054
4883,512,2033
4612,483,2017
4358,455,2000
4125,430,1984
