x,y,z
5522,-2318,2089
5172,-2189,2063
4869,-2079,2046
4581,-1975,2025
4325,-1884,2010
4086,-1800,1994
5550,-2293,2093
5195,-2163,2066
4889,-2054,2047
4600,-1951,2027
4346,-1863,2012
4100,-1777,1993
5571,-2265,2093
5223,-2140,2069
4908,-2028,2047
4621,-1928,2028
4365,-1840,2013
4121,-1757,1995
5596,-2237,2095
5243,-2112,2069
4935,-2006,2050
4642,-1905,2028
4381,-1815,2011
4147,-1738,1998
5627,-2211,2098
5270,-2088,2071
4959,-1981,2051
4671,-1883,2032
4401,-1793,2011
4169,-1716,1999
5661,-2186,2101
5295,-2061,2071
4990,-1959,2055
4697,-1861,2033
4424,-1770,2011
4194,-1696,2001
5691,-2159,2101
5328,-2037,2073
5021,-1935,2057
4724,-1837,2034
4457,-1751,2015
4223,-1677,2004
5737,-2137,2107
5362,-2012,2076
5049,-1911,2057
4753,-1815,2036
4485,-1729,2017
4250,-1656,2005
5775,-2111,2109
5399,-1988,2078
5082,-1887,2059
4790,-1794,2039
4519,-1709,2020
4277,-1635,2005
5854,-2099,2125
5435,-1964,2080
5121,-1865,2062
4822,-1772,2040
4547,-1687,2020
4306,-1614,2007
5904,-2077,2130
5480,-1942,2084
5163,-1844,2065
4859,-1750,2043
4580,-1666,2022
4342,-1596,2010
5925,-2043,2124
5528,-1920,2088
5197,-1819,2066
4899,-1730,2046
4615,-1645,2023
4379,-1576,2013
5943,-2008,2115
5582,-1899,2094
5248,-1800,2071
4940,-1708,2049
4653,-1624,2026
4410,-1555,2013
5980,-1979,2113
5630,-1876,2096
5285,-1775,2070
4980,-1687,2050
4704,-1608,2033
4453,-1537,2018
6041,-1957,2118
5686,-1855,2100
5333,-1753,2073
5028,-1667,2054
4742,-1586,2034
4484,-1514,2016
6107,-1936,2124
5744,-1834,2105
5383,-1732,2076
5076,-1646,2057
4788,-1567,2037
4527,-1495,2019
