x,y,z
1977,505,-808
1960,498,-759
1945,492,-713
1935,487,-670
1929,484,-630
1974,493,-606
1983,510,-827
1970,504,-779
1964,500,-735
1953,495,-691
1936,488,-646
1966,494,-618
1982,513,-843
1980,510,-799
1969,504,-752
1961,499,-709
1941,492,-662
1913,483,-615
1942,506,-842
1982,513,-816
1967,506,-767
1933,495,-714
1945,496,-678
1947,494,-641
1926,505,-851
1985,517,-833
1980,512,-788
1970,507,-742
1963,503,-699
1949,497,-655
1900,501,-855
1997,522,-854
1983,515,-805
1968,509,-757
1959,504,-713
1944,498,-668
1861,493,-854
1956,514,-853
1982,517,-820
1968,511,-772
1985,512,-737
1963,504,-689
1831,487,-855
1928,509,-856
1990,522,-839
1985,517,-794
1976,512,-748
1970,508,-706
1803,481,-857
1898,503,-858
1936,509,-831
1986,519,-809
1986,516,-767
1954,505,-714
1783,478,-863
1875,499,-863
1946,514,-851
1988,521,-826
1984,517,-781
1990,516,-742
1751,471,-862
1835,490,-860
1923,509,-857
2001,526,-846
1989,520,-798
1988,516,-756
1729,467,-866
1810,484,-863
1890,502,-857
1935,510,-833
1991,521,-814
1987,517,-770
1699,460,-865
1786,479,-866
1867,497,-861
1946,514,-853
1996,523,-831
1992,519,-786
0,0,0
0,0,0
1838,490,-862
1921,508,-857
2002,526,-848
1993,520,-801
0,0,0
0,0,0
1815,484,-865
1891,501,-858
1919,504,-827
1999,522,-817
0,0,0
0,0,0
1788,477,-866
1868,495,-861
1943,511,-851
2001,522,-832
