x,y,z
4019,-615,1993
3749,-575,1958
3551,-546,1951
3343,-516,1933
3149,-488,1915
2998,-467,1918
3945,-596,1982
3680,-557,1946
3499,-531,1947
3295,-502,1928
3110,-476,1914
2952,-454,1911
3897,-580,1982
3616,-540,1936
3451,-517,1943
3251,-488,1925
3065,-463,1909
2906,-441,1903
3837,-563,1975
3558,-523,1927
3401,-502,1937
3213,-476,1924
3009,-448,1895
2865,-429,1898
0,0,0
3623,-525,1985
3350,-486,1930
3157,-460,1913
2974,-436,1894
2830,-417,1895
0,0,0
3539,-504,1961
3294,-470,1919
3108,-446,1903
2939,-424,1892
2795,-405,1893
0,0,0
3502,-490,1961
3245,-456,1911
3063,-432,1896
2906,-412,1891
2761,-394,1889
0,0,0
0,0,0
3186,-439,1895
3020,-418,1888
2889,-402,1899
2727,-382,1885
0,0,0
0,0,0
3246,-439,1950
2997,-407,1893
2855,-390,1895
2692,-370,1879
0,0,0
0,0,0
3182,-422,1930
3007,-400,1917
2820,-377,1890
2663,-359,1877
0,0,0
0,0,0
0,0,0
2929,-382,1885
2782,-365,1882
2637,-348,1876
0,0,0
0,0,0
0,0,0
2968,-379,1928
2740,-351,1870
2608,-337,1871
0,0,0
0,0,0
0,0,0
0,0,0
2688,-337,1850
2581,-326,1868
0,0,0
0,0,0
0,0,0
0,0,0
2643,-323,1834
2558,-315,1867
0,0,0
0,0,0
0,0,0
0,0,0
2618,-312,1831
2547,-306,1874
0,0,0
0,0,0
0,0,0
0,0,0
2743,-318,1934
2542,-297,1884
