x,y,z
2559,51,273
2528,49,308
10451,196,1431
10441,190,1589
10430,183,1747
2458,41,450
2577,52,257
2578,50,295
10460,199,1358
10447,192,1515
10434,186,1672
10424,179,1831
2588,52,240
2537,50,273
2479,47,304
10448,193,1440
10449,187,1599
10429,181,1756
2585,52,221
2537,49,255
2560,48,295
10457,194,1366
10444,188,1523
10440,182,1681
2580,51,203
2541,49,237
2567,48,278
2453,45,303
10456,187,1449
10457,181,1608
2578,51,184
2538,49,219
2577,48,261
2515,45,292
10476,185,1376
2471,42,362
2558,49,165
2521,47,200
2472,45,233
2498,44,273
2453,42,304
2385,40,332
2537,48,146
2479,45,179
2457,44,214
2501,43,255
2404,40,281
2366,38,313
2492,45,126
2452,43,160
2499,43,200
2485,41,236
2365,38,260
2377,37,297
2424,42,106
2400,41,140
2389,39,175
2379,38,209
2387,37,246
2366,36,279
2377,40,88
2377,39,123
2384,37,158
2378,36,193
2374,35,228
2373,34,263
2383,38,71
2386,36,106
2386,35,142
2384,34,177
2377,33,211
2377,32,247
2384,35,55
2388,34,90
2389,33,125
2382,32,160
2384,31,195
2380,30,230
2365,32,38
2375,31,73
2389,30,109
2393,29,144
2388,28,179
2380,27,213
2362,29,22
2372,28,57
2377,27,92
2389,26,127
2395,25,163
2385,24,197
2365,26,6
2365,25,41
2384,24,76
2379,23,110
2383,22,145
2380,21,180
