x,y,z
9028,1177,2295
8129,1056,2208
7522,975,2177
7065,913,2172
6570,847,2141
6132,790,2114
9404,1220,2321
8576,1109,2265
7741,998,2182
7289,937,2185
6775,869,2155
6312,808,2125
9770,1260,2340
8921,1147,2290
8005,1026,2196
7433,950,2171
6979,890,2165
6506,828,2138
10175,1304,2362
9306,1188,2320
8456,1076,2255
7678,975,2184
7225,914,2184
6702,846,2149
10301,1310,2317
9647,1222,2334
8813,1113,2284
7909,996,2189
7380,927,2174
6923,867,2165
3434,433,747
10082,1267,2366
9223,1155,2322
8303,1037,2235
7592,945,2178
7146,887,2178
3445,430,725
10264,1278,2333
9512,1180,2324
8685,1074,2273
7841,967,2189
7338,902,2180
3462,428,704
3482,429,766
9947,1222,2357
9049,1107,2300
8157,995,2215
7512,914,2173
3477,425,682
3489,425,742
10257,1246,2355
9408,1138,2321
8592,1036,2268
7803,938,2197
3495,423,661
3509,423,721
10296,1235,2289
9817,1174,2349
8939,1065,2293
8045,955,2204
3518,420,640
3532,420,701
3540,419,761
10202,1204,2367
9354,1100,2330
8487,995,2261
3532,416,618
3548,416,679
3549,414,738
10250,1192,2303
9676,1121,2338
8842,1021,2288
3560,413,598
3568,412,657
3574,411,717
10282,1178,2235
10107,1153,2367
9236,1050,2321
3574,408,576
3595,409,637
3601,407,697
3598,405,756
10239,1149,2324
9543,1067,2327
3602,404,555
3617,404,615
3628,403,676
3622,401,735
10238,1129,2248
10001,1098,2364
3630,400,534
3642,399,594
3653,398,655
3651,396,715
3659,395,777
10225,1101,2342
