x,y,z
9399,433,2321
8545,412,2267
7811,393,2218
7184,378,2177
6649,365,2145
6183,354,2117
9090,450,2304
8273,427,2250
7594,409,2208
6988,393,2166
6473,379,2133
6031,368,2108
8750,464,2275
8020,443,2234
7361,424,2190
6800,407,2154
6314,394,2124
5888,382,2099
8477,480,2258
7780,458,2218
7164,439,2178
6627,422,2144
6160,408,2115
5744,395,2088
8216,496,2241
7559,474,2204
6981,454,2169
6454,436,2131
6009,422,2104
5603,409,2076
8032,515,2243
7346,489,2189
6798,469,2157
6298,451,2122
5877,437,2098
5488,423,2072
7705,525,2200
7148,504,2177
6628,484,2146
6155,466,2114
5738,451,2087
5376,438,2067
7522,542,2195
6976,520,2169
6461,499,2134
6008,480,2104
5611,465,2079
5260,451,2058
7339,559,2187
6800,536,2158
6311,514,2126
5876,495,2096
5492,479,2072
5158,465,2054
7144,574,2174
6631,550,2145
6168,529,2117
5745,509,2087
5379,493,2065
5046,478,2044
6982,591,2168
6475,565,2135
6029,544,2107
5622,524,2079
5270,507,2058
4939,491,2034
6814,606,2157
6319,580,2123
5903,559,2101
5504,538,2071
5168,521,2052
4849,505,2029
6649,621,2145
6189,596,2117
5775,573,2091
5402,553,2067
5065,535,2045
4763,519,2025
6495,636,2134
6057,611,2109
5653,587,2082
5300,567,2062
4963,548,2036
4683,533,2022
6356,651,2126
5934,626,2102
5538,601,2074
5198,581,2055
4870,561,2029
4594,546,2014
6228,667,2120
5803,639,2090
5438,617,2070
5101,596,2048
4791,576,2026
4513,559,2008
