x,y,z
8295,-78,176
11040,-104,394
10633,-101,534
10957,-104,709
10591,-101,840
2905,-27,273
2884,-22,41
10799,-86,312
10710,-85,464
10845,-86,628
10599,-84,768
10617,-85,924
0,0,0
2950,-19,64
10735,-70,391
10665,-69,544
10677,-69,700
10628,-69,852
5285,-27,3
2961,-15,44
2958,-15,87
10774,-55,475
11074,-57,650
10635,-54,779
2969,-11,-18
0,0,0
7770,-30,176
2965,-11,110
10725,-41,554
10968,-42,727
4973,-14,-65
5318,-15,6
0,0,0
8447,-23,255
10772,-29,483
11120,-29,660
5008,-9,-100
5143,-9,-28
0,0,0
0,0,0
0,0,0
2986,-4,156
5020,-5,-135
4990,-5,-62
7390,-7,14
7461,-6,122
0,0,0
10719,-7,487
4968,-2,-168
5033,-1,-98
3009,0,-15
7376,-1,70
8069,0,193
10726,0,413
2703,0,-110
4932,1,-130
5002,2,-59
7397,3,18
7517,4,128
8621,6,272
2678,1,-128
0,0,0
5019,4,-94
3029,3,-13
7391,8,75
10738,14,265
2741,2,-150
2704,3,-109
4932,6,-127
4990,7,-55
7386,12,24
7549,13,133
2889,3,-178
2679,4,-126
4976,8,-163
5042,9,-92
2983,5,-11
7399,16,79
2904,4,-200
2712,4,-147
2705,5,-107
4935,10,-124
0,0,0
7392,17,28
2900,4,-220
2891,5,-177
2667,5,-124
4988,10,-160
4917,11,-86
2965,7,-9
2897,4,-240
2918,4,-199
2702,5,-145
2717,5,-106
4937,11,-121
5001,12,-50
