x,y,z
2371,25,3
2371,27,43
2375,28,83
2382,30,123
2392,31,163
2388,33,203
2369,31,19
2377,32,59
2387,34,99
2384,35,139
2374,37,178
2370,38,217
2381,36,35
2378,38,74
2379,39,114
2379,41,154
2491,45,203
2449,46,241
2337,41,50
2479,46,94
2552,49,139
2542,51,181
2557,53,225
2587,55,271
2554,52,71
2575,54,114
2599,56,159
2587,58,201
2584,60,244
2566,62,286
2591,59,88
2596,61,132
2599,64,175
2576,65,217
2587,68,261
2592,70,305
2587,66,105
2598,69,149
2596,71,192
2593,73,235
2577,75,277
2638,79,328
2590,74,122
2598,76,165
2617,79,210
2587,81,251
2575,83,293
10482,350,1372
2590,81,138
2618,85,183
2591,86,224
2583,89,267
2577,91,310
10478,384,1438
2603,90,155
2602,92,198
2592,95,241
2587,97,284
10507,408,1330
10489,419,1506
2600,98,171
2601,101,215
2591,103,257
2591,106,300
10492,443,1395
10468,454,1569
2605,106,188
2600,109,231
2583,111,272
2633,117,322
10501,480,1462
10467,492,1636
2604,115,204
2591,118,246
2586,121,289
10512,505,1352
10500,518,1528
10477,531,1703
2599,124,220
2592,127,262
2602,131,307
10509,544,1416
10496,557,1592
10473,570,1767
2599,134,235
2586,136,277
2639,142,327
10519,583,1481
10505,597,1658
10465,610,1830
2597,143,251
2590,146,293
10541,610,1371
10520,624,1545
10507,638,1722
10463,651,1895
