x,y,z
5090,1605,2046
4773,1517,2024
4495,1441,2009
4234,1370,1992
3987,1303,1974
3770,1246,1962
5190,1633,2050
4871,1545,2031
4579,1464,2012
4313,1392,1997
4069,1326,1982
3837,1264,1966
5295,1663,2055
4968,1572,2036
4667,1488,2017
4397,1414,2002
4146,1346,1987
3909,1283,1970
5410,1694,2061
5079,1602,2044
4755,1511,2019
4482,1437,2006
4226,1368,1992
3979,1300,1973
5533,1727,2069
5183,1629,2049
4866,1541,2030
4563,1457,2007
4310,1389,1997
4064,1323,1982
5670,1765,2080
5305,1662,2058
4974,1570,2038
4661,1483,2015
4396,1411,2002
4144,1342,1986
5806,1800,2089
5418,1691,2063
5084,1598,2045
4763,1508,2022
4487,1433,2007
4231,1364,1993
5950,1838,2098
5546,1724,2071
5195,1625,2051
4872,1536,2031
4570,1452,2009
4318,1384,1998
6088,1872,2103
5685,1758,2081
5319,1656,2060
4985,1563,2039
4675,1477,2017
4407,1405,2003
6260,1916,2118
5833,1795,2092
5438,1684,2065
5098,1590,2045
4783,1503,2025
4504,1427,2010
6460,1967,2139
5975,1829,2099
5576,1717,2075
5217,1618,2053
4894,1528,2033
4600,1448,2015
6605,2000,2140
6131,1866,2109
5722,1752,2086
5331,1643,2056
5010,1555,2042
4696,1469,2018
2134,642,676
6307,1908,2123
5870,1786,2096
5467,1673,2066
5120,1578,2045
4809,1493,2027
2133,638,660
6532,1964,2151
6019,1819,2104
5607,1705,2076
5246,1605,2054
4927,1519,2037
2141,636,647
6612,1974,2129
6173,1853,2112
5746,1734,2084
5370,1631,2060
5043,1542,2043
2153,635,636
2168,643,682
6374,1899,2132
5899,1767,2094
5509,1660,2070
5164,1567,2051
