x,y,z
2074,847,-204
2085,850,-171
2085,847,-137
2079,843,-102
2073,839,-68
2086,844,-35
2077,833,-208
2083,833,-175
2081,830,-140
2074,825,-106
2075,824,-72
2085,827,-39
2068,814,-211
2081,816,-178
2076,812,-144
2078,811,-110
2074,808,-76
2076,808,-43
2070,799,-214
2080,800,-181
2076,796,-147
2066,790,-113
2077,793,-80
2079,792,-46
2065,781,-217
2079,783,-185
2074,779,-150
2069,775,-116
2000,748,-80
1996,745,-48
1960,726,-209
1969,727,-177
1976,727,-146
1961,720,-113
1976,724,-82
1986,726,-51
1949,707,-210
1969,712,-180
1971,710,-148
1964,706,-116
1965,705,-85
1979,708,-54
1942,690,-212
1962,694,-182
1964,693,-150
1965,691,-119
1974,692,-88
1983,694,-56
1937,673,-213
1963,680,-184
1977,682,-154
1978,680,-122
1988,682,-91
1995,683,-59
1973,670,-219
1990,674,-189
2006,677,-158
2002,674,-126
2014,676,-94
2024,678,-62
2004,666,-224
2022,669,-194
2031,670,-162
2035,669,-130
2044,670,-98
2051,671,-65
2038,662,-230
2048,662,-198
2065,665,-166
2064,663,-133
2075,664,-101
2086,666,-69
2064,654,-234
2091,660,-204
2098,660,-171
2102,659,-138
2107,658,-104
2117,660,-71
2100,650,-240
2125,655,-208
2108,647,-173
2124,649,-140
2134,651,-107
2142,651,-74
2078,627,-238
2133,641,-210
2148,643,-177
2087,622,-139
2173,646,-110
2185,647,-77
2111,621,-243
2115,619,-210
2116,617,-176
2108,612,-142
2218,642,-114
2228,643,-79
