x,y,z
6304,459,2124
5880,444,2099
5494,431,2074
5147,419,2051
4826,408,2027
4558,401,2016
6166,475,2116
5751,459,2090
5385,446,2067
5046,433,2044
4738,422,2022
4462,413,2004
6039,491,2110
5631,474,2081
5276,460,2060
4951,447,2038
4658,436,2020
4392,427,2004
5903,506,2098
5527,490,2077
5178,475,2054
4856,461,2031
4572,450,2013
4316,439,1998
5783,521,2090
5420,504,2070
5082,489,2048
4767,474,2024
4492,463,2008
4248,453,1996
5675,536,2085
5315,519,2062
4984,503,2039
4693,489,2023
4422,477,2006
4168,465,1986
5561,551,2076
5221,534,2058
4891,517,2032
4614,503,2018
4343,490,1998
4100,478,1981
5465,567,2072
5125,548,2050
4812,531,2028
4534,517,2012
4276,503,1995
4035,491,1977
5359,581,2063
5034,563,2044
4737,546,2026
4460,530,2007
4205,516,1989
3972,504,1973
5269,597,2059
4947,577,2038
4659,560,2021
4394,545,2004
4139,529,1984
3927,518,1976
5183,612,2054
4862,591,2031
4591,575,2018
4320,558,1997
4074,542,1978
3867,531,1971
5088,626,2045
4787,606,2027
4518,589,2013
4260,572,1995
4020,556,1977
3809,544,1966
5004,641,2039
4719,621,2025
4453,603,2010
4194,585,1989
3959,569,1972
3754,556,1962
4931,657,2036
4648,636,2021
4381,617,2003
4128,598,1983
3909,583,1971
3704,569,1960
4857,672,2032
4582,651,2017
4319,631,1999
4075,612,1981
3860,597,1970
3657,583,1958
4778,686,2024
4514,665,2012
4254,644,1992
4016,625,1976
3808,610,1966
3611,596,1956
