x,y,z
4373,1996,1995
4124,1909,1983
3881,1823,1966
3659,1746,1951
3501,1700,1965
3267,1616,1930
4402,2019,1993
4158,1934,1984
3912,1846,1967
3689,1768,1954
3488,1701,1944
3286,1631,1928
4447,2049,1997
4194,1959,1987
3953,1873,1973
3721,1791,1956
3513,1719,1944
3319,1654,1934
4497,2081,2003
4230,1983,1987
3985,1896,1973
3752,1812,1957
3539,1738,1943
3391,1695,1961
4543,2110,2005
4280,2014,1993
4024,1920,1976
3792,1837,1962
3569,1757,1944
3408,1708,1955
4591,2139,2008
4327,2043,1997
4069,1947,1980
3825,1858,1961
3612,1783,1951
3443,1729,1958
4646,2172,2012
4369,2068,1997
4109,1971,1981
3867,1883,1965
3647,1804,1952
3511,1766,1979
4692,2199,2011
4412,2093,1996
4154,1998,1983
3910,1907,1968
3685,1826,1954
3508,1767,1959
4710,2212,1997
4471,2125,2002
4206,2026,1988
3950,1929,1968
3728,1849,1958
3513,1771,1944
4710,2216,1975
4527,2155,2006
4261,2055,1993
4007,1960,1977
3763,1868,1956
3544,1788,1941
4712,2220,1953
4591,2189,2011
4313,2082,1995
4048,1981,1975
3812,1893,1961
3598,1816,1950
4712,2223,1930
4666,2226,2020
4362,2107,1995
4105,2010,1981
3864,1919,1966
3638,1836,1951
4710,2223,1905
4708,2247,2014
4421,2136,1998
4162,2038,1985
3913,1943,1968
3682,1857,1952
4709,2223,1880
4714,2250,1991
4488,2168,2003
4220,2065,1988
3966,1968,1971
3733,1881,1956
4713,2225,1856
4716,2251,1966
4559,2202,2009
4271,2089,1987
4025,1996,1976
3785,1904,1960
4718,2227,1832
4723,2253,1942
4636,2237,2016
4341,2120,1994
4084,2022,1980
3841,1929,1964
