x,y,z
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
7090,-589,-531
8015,-655,-467
5922,-476,-246
0,0,0
0,0,0
0,0,0
4898,-376,-350
4887,-369,-268
4894,-363,-187
4856,-354,-106
4895,-351,-26
0,0,0
7435,-524,-506
8481,-587,-437
5033,-342,-176
5168,-344,-96
5579,-365,-12
4767,-307,67
7634,-489,-495
5024,-315,-243
5046,-310,-161
4933,-298,-76
4780,-283,3
4780,-277,81
4987,-288,-307
5020,-283,-227
5033,-278,-145
3648,-197,-46
4776,-252,17
4790,-247,95
4950,-254,-290
4753,-238,-201
3631,-177,-94
3520,-167,-34
4778,-222,31
4794,-217,108
4406,-197,-245
4366,-190,-172
3433,-145,-79
3505,-144,-24
4748,-190,43
4800,-186,122
3541,-135,-187
3524,-130,-129
3454,-124,-70
3497,-121,-15
4400,-148,52
4330,-140,121
3299,-105,-166
3084,-94,-105
3463,-101,-62
3527,-99,-6
4766,-129,68
4345,-112,132
3189,-80,-152
3089,-74,-97
3478,-79,-53
3493,-75,2
4126,-84,69
4770,-92,156
2965,-54,-134
3060,-53,-89
4928,-79,-64
5262,-79,15
8216,-114,156
11036,-140,387
2814,-33,-120
4933,-52,-132
4966,-47,-53
7702,-65,40
8188,-59,173
10769,-67,401
