x,y,z
2356,390,-721
2438,404,-702
2409,399,-650
2405,398,-606
2409,399,-565
2126,353,-462
2331,390,-732
2386,399,-705
2430,407,-673
2419,405,-627
2414,405,-584
2158,362,-484
2298,389,-739
2373,401,-719
2438,412,-694
2423,410,-646
2412,408,-601
2417,410,-560
2175,372,-717
2383,407,-741
2485,424,-726
2432,415,-667
2410,412,-618
2420,414,-578
2118,366,-715
2335,403,-744
2451,423,-735
2433,419,-685
2429,419,-640
2423,418,-596
2125,370,-734
2257,393,-737
2403,418,-739
2444,425,-707
2438,424,-661
2431,423,-616
2117,372,-749
2128,373,-711
2355,413,-743
2467,432,-732
2439,427,-679
2437,427,-635
2095,371,-758
2134,377,-731
2312,408,-747
2430,429,-740
2435,430,-696
2447,432,-655
2109,376,-780
2148,382,-752
2232,397,-739
2374,422,-741
2474,439,-726
2456,436,-676
2201,395,-832
2120,380,-759
2190,392,-742
2326,416,-744
2426,433,-730
2434,435,-688
2162,391,-835
2110,380,-773
2173,391,-753
2269,408,-743
2352,422,-726
2430,436,-705
2111,383,-833
2196,398,-822
2133,386,-756
2212,400,-741
2296,414,-726
2392,431,-711
2082,380,-839
2191,399,-838
2112,384,-765
2193,398,-752
2265,410,-733
2364,428,-720
2044,375,-841
2152,393,-840
2137,390,-791
2150,391,-753
2242,408,-742
2260,411,-706
2013,370,-845
2110,387,-841
2215,405,-838
2116,386,-758
2205,402,-747
2335,425,-746
1979,365,-847
2076,382,-844
2171,399,-838
2114,387,-774
2177,398,-754
2268,414,-742
