x,y,z
2398,-124,-814
2523,-128,-813
2644,-131,-806
2769,-134,-797
2905,-138,-789
3049,-142,-778
2358,-131,-817
2476,-134,-815
2591,-138,-808
2713,-141,-800
2845,-145,-791
2992,-149,-783
2312,-137,-818
2433,-141,-817
2544,-144,-811
2666,-148,-804
2793,-152,-795
2932,-157,-786
2278,-144,-822
2392,-148,-820
2499,-151,-813
2618,-155,-806
2747,-160,-800
2869,-164,-787
2241,-150,-824
2350,-154,-822
2455,-158,-815
2573,-163,-810
2691,-167,-801
2820,-172,-792
2206,-156,-827
2307,-160,-823
2414,-165,-818
2527,-169,-812
2648,-174,-805
2775,-179,-797
2172,-163,-829
2271,-167,-825
2376,-172,-821
2481,-176,-813
2597,-181,-806
2727,-187,-801
2134,-169,-829
2234,-174,-827
2329,-178,-820
2446,-184,-818
2555,-189,-810
2675,-194,-802
2109,-176,-834
2204,-181,-831
2294,-185,-823
2404,-191,-819
2513,-196,-812
2634,-202,-806
2076,-183,-836
2178,-188,-835
2257,-192,-824
2364,-197,-821
2469,-203,-813
2589,-209,-808
2050,-190,-839
2144,-195,-837
2235,-200,-831
2322,-204,-821
2433,-210,-817
2548,-217,-811
2015,-196,-839
2106,-201,-836
2197,-206,-831
2294,-212,-826
2396,-218,-819
2511,-225,-815
1986,-202,-840
2082,-208,-840
2175,-214,-837
2255,-218,-826
2355,-225,-820
2472,-232,-817
1961,-209,-843
2055,-215,-843
2136,-220,-835
2226,-226,-829
2322,-232,-823
2434,-240,-819
1941,-216,-847
2028,-222,-845
2098,-226,-834
2196,-233,-831
2293,-240,-826
2395,-247,-820
1912,-223,-847
2000,-229,-847
2081,-235,-840
2168,-241,-834
2257,-247,-827
2361,-255,-822
