x,y,z
2510,237,-237
2047,195,-161
2119,203,-134
2106,204,-100
2149,209,-69
2254,221,-38
2416,242,-238
2056,207,-171
2091,212,-141
2111,216,-110
2133,220,-78
2182,226,-46
2460,260,-254
2145,228,-188
2056,220,-148
2142,231,-121
2108,229,-86
2154,235,-55
2583,288,-279
2599,291,-240
2053,231,-157
2080,235,-127
2126,242,-96
2149,246,-64
2548,298,-287
2596,305,-252
2055,243,-167
2080,247,-136
2142,255,-107
2136,256,-74
2346,287,-276
2557,314,-260
2138,264,-184
2073,257,-146
2150,268,-118
2110,265,-83
2439,312,-299
2328,299,-248
2604,335,-237
2059,266,-155
2115,275,-126
2108,275,-92
2578,343,-329
2270,303,-253
2617,351,-251
2056,277,-165
2104,284,-135
0,0,0
2536,351,-337
2149,298,-251
2586,360,-261
2146,300,-182
2088,293,-145
2115,298,-113
2552,366,-352
2250,324,-274
2336,337,-247
2619,379,-236
2063,300,-153
2103,307,-123
2522,375,-362
2278,339,-290
2281,341,-254
2615,392,-249
2070,311,-164
2099,317,-134
2617,403,-389
2376,366,-315
2195,339,-256
2345,363,-236
2191,340,-185
2087,325,-144
2617,416,-404
2573,409,-355
2407,384,-294
2228,356,-236
2590,415,-233
2080,334,-154
2343,384,-375
2649,435,-381
2285,375,-291
2192,361,-244
2267,374,-216
2089,346,-166
2289,386,-379
3017,510,-451
2248,380,-299
2257,382,-264
2224,378,-224
2215,377,-188
2100,364,-360
2963,515,-460
2322,403,-322
2920,509,-358
2228,389,-237
2361,413,-213
