x,y,z
2824,536,365
2819,540,409
2806,543,453
2788,545,496
2773,548,539
2755,551,582
2775,545,367
2767,549,411
2752,551,453
2733,553,495
2716,556,537
2701,559,579
2721,553,368
2712,556,411
2699,559,453
2685,562,495
2664,564,535
2654,567,578
2671,561,369
2666,565,412
2649,567,452
2636,570,493
2613,571,533
2603,575,575
2620,569,370
2614,573,411
2599,574,451
2579,576,490
2572,580,532
2555,582,572
2576,577,371
2564,579,410
2547,581,449
2538,585,490
2527,588,530
2512,590,569
2522,583,370
2518,587,410
2497,587,447
2487,591,487
2477,594,526
2462,596,565
2468,588,368
2471,594,409
2459,596,447
2446,598,485
2430,600,523
2418,603,561
2433,597,369
2428,601,408
2414,602,445
2403,605,483
2386,607,520
2379,611,559
2384,602,367
2379,606,405
2365,607,442
2359,611,480
2350,615,518
2339,618,555
2341,608,366
2349,615,405
2332,616,441
2316,617,477
2307,620,514
2292,623,550
2305,615,366
2303,619,403
2290,621,438
2280,624,475
2268,626,510
2251,628,545
2272,623,365
2261,625,400
2245,626,435
2202,619,463
2184,620,497
2178,624,533
2231,628,363
2218,629,397
2197,629,430
2166,625,460
2149,626,493
2141,630,528
2186,631,360
2175,633,394
2157,633,426
2149,636,461
2128,636,493
2114,638,526
2152,638,358
2139,639,391
2115,637,422
2104,639,455
2087,639,487
2074,642,520
