x,y,z
1987,657,-440
2023,664,-414
2034,662,-382
2036,658,-349
2073,666,-321
2089,667,-290
1914,618,-422
1921,615,-391
1956,622,-365
1961,619,-334
2058,645,-316
2117,659,-291
1919,605,-420
1926,602,-389
1937,601,-359
1952,601,-330
1958,599,-299
2115,643,-288
1934,594,-421
1934,590,-388
1928,583,-355
1946,584,-326
1981,591,-299
2198,651,-297
1947,583,-420
1945,578,-387
1931,569,-352
1960,574,-325
2015,586,-302
2146,620,-287
1937,565,-415
1938,561,-383
1935,556,-350
1942,554,-319
2031,575,-301
2137,601,-282
1938,551,-412
1510,426,-296
1934,541,-347
1973,548,-321
2048,564,-300
2307,631,-301
1939,537,-409
1904,522,-369
1943,529,-345
1964,531,-316
2109,565,-306
2354,627,-303
1933,520,-404
1924,513,-370
1937,513,-340
1775,466,-283
2160,563,-309
2384,617,-303
1934,506,-400
1903,494,-362
1944,500,-338
1952,498,-307
2362,598,-334
2430,611,-304
1936,492,-396
0,0,0
1956,489,-336
1966,487,-305
2407,592,-335
2367,578,-292
1904,470,-386
1911,467,-355
1750,424,-297
2037,490,-312
2522,602,-346
2518,597,-305
1942,465,-389
1950,463,-358
1962,462,-328
2055,479,-310
2556,592,-345
2522,579,-300
1968,457,-390
1983,456,-360
2075,473,-342
2086,472,-310
2604,584,-346
2578,574,-301
2030,457,-397
2055,458,-368
2045,452,-332
2069,453,-303
2646,575,-345
2186,471,-250
2033,443,-392
2063,445,-364
2047,437,-328
2201,467,-317
2592,545,-331
2195,458,-245
