x,y,z
1931,-171,-847
2016,-175,-844
2097,-179,-837
2193,-183,-834
2283,-188,-827
2390,-193,-822
1903,-177,-847
1992,-182,-847
2074,-186,-842
2165,-191,-838
2248,-195,-828
2354,-200,-824
1878,-184,-849
1965,-189,-849
2045,-193,-843
2133,-198,-839
2219,-202,-831
2320,-208,-826
1849,-190,-849
1938,-195,-850
2016,-200,-845
2113,-205,-844
2191,-209,-834
2288,-215,-829
1836,-198,-856
1916,-202,-854
1991,-206,-847
2073,-211,-841
2161,-217,-836
2253,-222,-830
1813,-204,-857
1891,-209,-855
1964,-213,-848
2047,-218,-843
2134,-224,-838
2228,-230,-833
1788,-210,-858
1866,-215,-856
1944,-220,-852
2017,-225,-843
2105,-231,-839
2194,-237,-833
1763,-216,-857
1849,-223,-860
1921,-227,-854
1994,-232,-846
2079,-238,-841
2171,-245,-837
1739,-222,-857
0,0,0
1898,-234,-855
1976,-240,-850
2051,-245,-842
2142,-252,-838
0,0,0
0,0,0
1875,-241,-856
1942,-245,-847
2024,-252,-843
2116,-259,-840
0,0,0
0,0,0
1851,-247,-856
1924,-253,-850
2005,-259,-846
2095,-267,-843
0,0,0
0,0,0
1834,-255,-860
1909,-261,-855
1983,-267,-848
2073,-275,-845
0,0,0
0,0,0
1812,-261,-860
1882,-267,-853
1961,-274,-849
2050,-282,-847
0,0,0
0,0,0
1794,-268,-862
1862,-274,-855
1940,-281,-851
2015,-288,-843
0,0,0
0,0,0
1776,-275,-864
1843,-281,-857
1918,-288,-852
2001,-296,-848
0,0,0
0,0,0
1761,-283,-867
1829,-289,-860
1897,-295,-852
1977,-303,-848
