x,y,z
6567,1764,2150
6066,1636,2106
5659,1534,2080
5299,1444,2058
4972,1364,2038
4673,1290,2019
6703,1791,2145
6231,1672,2117
5808,1566,2091
5425,1470,2065
5087,1387,2045
4779,1311,2025
6894,1831,2156
6449,1720,2143
5967,1599,2102
5564,1498,2075
5213,1412,2053
4898,1335,2035
7094,1873,2167
6583,1744,2139
6116,1628,2108
5705,1526,2083
5339,1436,2060
5023,1359,2045
7248,1901,2161
6781,1785,2153
6316,1669,2129
5852,1554,2091
5467,1459,2066
5135,1379,2049
2339,609,680
6975,1823,2163
6531,1714,2152
6008,1583,2100
5616,1488,2078
5262,1402,2057
2345,606,665
7177,1862,2172
6650,1731,2141
6180,1616,2112
5768,1515,2088
5389,1423,2063
2362,606,653
7345,1890,2169
6856,1771,2157
6400,1660,2138
5915,1540,2095
5531,1448,2072
2371,603,638
2382,608,686
7064,1808,2169
6555,1685,2140
6077,1568,2104
5682,1473,2082
2387,602,626
2387,603,670
7277,1846,2180
6741,1716,2149
6282,1606,2126
5836,1499,2093
2403,601,613
2409,604,659
7436,1869,2172
6941,1750,2160
6502,1646,2150
5998,1525,2103
2413,597,598
2420,600,644
2421,602,689
7166,1788,2176
6615,1657,2137
6168,1551,2114
2426,595,584
2432,597,630
2431,598,674
7372,1821,2184
6829,1692,2154
6393,1591,2141
2438,591,570
2453,596,618
2449,596,662
7553,1845,2182
7047,1727,2169
6547,1610,2142
2462,591,559
2469,593,604
2462,593,647
2464,595,693
7271,1761,2183
6732,1636,2150
2475,587,545
2483,590,590
2486,591,636
2481,592,680
7493,1793,2195
6924,1662,2159
