x,y,z
2336,349,-711
2442,365,-698
2218,332,-595
2391,358,-599
2388,359,-557
2121,319,-458
2376,359,-741
2357,356,-692
2209,334,-609
2297,348,-592
2396,364,-576
2141,325,-478
2316,354,-741
2350,359,-708
2416,369,-684
2243,343,-595
2406,369,-596
2391,367,-551
2244,346,-735
2343,361,-725
2447,377,-712
2191,338,-598
2340,362,-597
2410,373,-573
2128,331,-715
2296,357,-728
2354,366,-702
2332,363,-654
2256,351,-592
2416,377,-591
2196,344,-755
2292,359,-744
2348,368,-719
2442,383,-703
2202,346,-594
2405,378,-607
2124,335,-747
2166,342,-720
2333,368,-732
2365,373,-699
2248,355,-623
2301,364,-597
2097,333,-755
2174,345,-740
2308,367,-742
2409,383,-730
2433,387,-693
2244,357,-599
2087,334,-769
2115,338,-737
2197,351,-724
2335,373,-726
2371,379,-693
2215,354,-608
2198,354,-827
2110,339,-752
2172,349,-733
2320,373,-739
2350,378,-705
2437,392,-687
2173,351,-836
2104,340,-767
2181,352,-753
2243,362,-732
2341,378,-720
2470,399,-714
2114,343,-831
2129,345,-794
2128,345,-751
2230,361,-744
2331,378,-734
2359,382,-699
2091,341,-839
2197,358,-837
2109,343,-761
2172,353,-742
2292,372,-739
2347,381,-713
2053,336,-841
2163,353,-841
2110,344,-778
2125,346,-742
2189,356,-722
2334,380,-726
2019,331,-844
2117,346,-841
2212,361,-833
2120,346,-757
2189,357,-739
2319,378,-739
1984,326,-846
2084,341,-845
2175,356,-837
2102,344,-767
2187,357,-755
2203,360,-719
