x,y,z
1927,49,-849
2008,53,-844
2092,58,-838
2184,62,-832
2285,67,-828
2393,73,-822
1897,44,-851
1984,48,-849
2063,52,-842
2149,56,-835
2246,61,-830
2352,66,-825
1860,38,-850
1948,42,-849
2029,46,-843
2123,50,-840
2206,54,-831
2310,59,-826
1836,33,-854
1924,36,-854
2002,40,-847
2086,44,-841
2179,48,-836
2271,52,-829
1813,27,-857
1896,31,-856
1971,34,-849
2055,38,-844
2142,42,-837
2234,46,-830
0,0,0
1862,25,-855
1942,28,-851
2019,31,-844
2112,35,-841
2204,39,-835
0,0,0
1833,19,-856
1916,22,-854
1992,25,-847
2073,29,-840
2167,32,-836
0,0,0
0,0,0
1886,16,-855
1960,19,-848
2040,22,-841
2133,25,-837
0,0,0
0,0,0
1857,10,-855
1936,13,-851
2019,16,-847
2107,19,-842
0,0,0
0,0,0
1833,4,-858
1908,7,-853
1987,9,-847
2078,12,-844
0,0,0
0,0,0
1812,-1,-861
1881,1,-854
1959,3,-849
2037,5,-841
0,0,0
0,0,0
0,0,0
1859,-5,-857
1935,-2,-852
2018,0,-847
0,0,0
0,0,0
0,0,0
1835,-11,-859
1910,-9,-854
1993,-7,-849
0,0,0
0,0,0
0,0,0
1812,-17,-861
1884,-15,-854
1967,-13,-851
0,0,0
0,0,0
0,0,0
1789,-23,-862
1865,-22,-858
1939,-20,-852
0,0,0
0,0,0
0,0,0
1769,-29,-865
1836,-28,-857
1915,-27,-853
