x,y,z
10567,1207,1063
10580,1202,1230
10569,1194,1396
10547,1186,1562
10539,1180,1730
10506,1171,1894
5003,554,471
10588,1167,1164
10570,1159,1329
10556,1151,1495
10538,1143,1660
10522,1136,1828
5006,538,441
10584,1130,1097
10575,1122,1262
10559,1115,1427
10549,1108,1594
10537,1100,1760
5006,520,410
10633,1097,1036
10571,1084,1195
10567,1078,1362
10550,1070,1527
10538,1063,1693
5009,502,380
5008,498,457
10578,1046,1130
10564,1038,1295
10547,1031,1459
10540,1024,1626
5003,483,349
5015,481,427
10572,1007,1066
10566,999,1230
10552,991,1394
10535,984,1558
5009,465,320
5009,461,397
5009,458,475
10567,959,1166
10547,951,1329
10534,943,1493
5015,446,291
5012,442,367
5005,438,444
10565,917,1102
10551,910,1266
10538,902,1429
5018,426,262
5014,422,338
5004,418,415
10544,874,1037
10546,866,1201
10541,860,1365
5020,406,233
5018,402,310
5006,398,386
5003,394,463
10555,824,1140
10539,816,1302
5023,385,205
5019,381,281
5014,377,357
5004,373,434
10547,779,1077
10545,772,1240
5019,364,177
5021,360,253
5013,356,329
5006,352,405
10597,738,1021
10545,727,1178
5022,343,149
5025,339,225
5014,334,301
5013,331,377
5005,326,454
10554,681,1119
5024,321,121
5026,317,197
5018,313,273
5011,308,349
5013,305,426
10525,633,1057
5023,298,94
5028,294,170
5020,290,246
5015,286,322
5006,282,398
5024,279,476
5029,276,68
5027,272,144
5023,268,220
5015,263,295
5000,259,371
5014,255,448
