x,y,z
5080,369,34
5031,371,114
5026,376,194
5011,380,273
5013,386,353
5013,392,434
5033,398,49
5032,403,129
5028,408,209
5016,413,288
5011,418,368
5011,424,449
5032,430,64
5032,435,144
5021,440,223
5015,445,303
5007,450,382
5011,456,463
5036,463,79
5036,468,158
5023,472,238
5017,477,317
5004,482,396
5020,490,478
5025,495,93
5033,501,172
5023,505,252
5014,510,331
5012,516,411
10556,1100,1034
5033,529,106
5031,534,186
5022,539,265
5011,544,344
5012,549,424
10573,1173,1063
5027,562,119
5029,567,198
5017,572,277
5015,577,357
5009,583,436
10602,1248,1093
5033,596,132
5030,601,211
5014,605,289
5010,611,369
5007,616,448
10594,1318,1118
0,0,0
4926,623,218
5025,641,302
5013,645,380
5008,650,460
10595,1390,1142
4168,551,128
4944,659,230
5025,675,313
5002,678,391
4984,681,468
10591,1462,1165
10916,1516,360
10819,1515,527
11111,1569,716
10767,1533,864
3132,449,301
10580,1533,1186
3186,464,111
10866,1597,551
3206,474,213
10817,1615,890
3057,460,300
3121,474,356
8347,1275,308
8347,1284,439
8341,1293,570
8313,1298,700
2956,465,295
3036,482,352
8357,1335,324
3134,504,170
2656,430,186
2695,440,231
2614,430,266
2604,432,306
2614,436,106
2611,438,146
2619,442,188
2598,442,227
2664,457,276
2664,460,318
2855,496,120
2814,492,162
2824,497,207
2818,500,251
2810,502,295
2842,512,344
