x,y,z
3209,81,1930
3065,78,1930
2910,75,1920
2760,72,1907
2617,68,1896
2485,65,1889
3225,94,1929
3082,91,1930
2921,87,1916
2781,83,1911
2637,79,1899
2506,76,1893
3267,108,1942
3101,103,1930
2946,98,1920
2798,94,1910
2656,90,1901
2520,85,1891
3314,121,1957
3125,115,1933
2966,110,1921
2817,105,1911
2675,100,1901
2545,96,1897
3341,135,1960
3145,128,1932
2989,122,1923
2838,116,1911
2691,111,1899
2558,106,1893
3382,149,1970
3176,141,1937
3020,134,1928
2862,128,1914
2718,122,1904
2588,117,1901
3417,163,1976
3196,153,1935
3033,146,1922
2887,139,1916
2740,133,1905
2606,127,1899
3416,175,1960
3224,165,1936
3067,158,1928
2912,151,1917
2769,144,1910
2632,138,1902
3423,187,1948
3272,179,1949
3095,170,1930
2939,163,1919
2797,155,1913
2655,148,1903
3434,199,1937
3330,194,1967
3123,182,1931
2963,174,1918
2822,166,1913
2682,159,1905
3488,214,1951
3360,207,1967
3154,195,1933
2995,186,1922
2849,177,1914
2713,170,1910
3533,228,1957
3416,222,1981
3193,208,1939
3027,198,1924
2875,189,1914
2739,181,1909
3572,243,1960
3433,234,1972
3218,220,1935
3058,210,1925
2910,200,1918
2771,192,1913
3608,256,1960
3430,244,1951
3277,234,1951
3097,222,1930
2943,212,1920
2802,203,1914
3652,271,1964
3453,257,1944
3331,249,1963
3128,234,1929
2971,223,1919
2834,214,1916
3704,286,1971
3518,272,1960
3388,263,1975
3167,247,1933
3012,235,1925
2863,225,1916
