x,y,z
5192,-551,-636
5646,-603,-606
6177,-665,-571
6808,-738,-528
7586,-829,-476
8329,-917,-400
5105,-574,-643
5530,-625,-613
6043,-688,-580
6636,-761,-538
7386,-853,-489
8028,-934,-413
5017,-596,-649
5424,-648,-620
5908,-710,-587
6492,-786,-548
7206,-878,-501
7395,-908,-405
4932,-618,-654
5330,-671,-627
5797,-735,-595
6352,-810,-557
7030,-903,-512
7390,-955,-429
4850,-639,-659
5230,-693,-632
5690,-758,-602
6223,-834,-565
6880,-927,-522
7400,-1004,-452
4777,-661,-664
5156,-717,-639
5587,-781,-608
6104,-858,-573
6726,-951,-531
7422,-1056,-476
4703,-682,-669
5058,-736,-642
5500,-805,-615
5995,-882,-581
6592,-976,-540
7318,-1090,-491
4636,-703,-673
4989,-760,-648
5408,-828,-621
5887,-906,-587
6465,-1001,-548
7165,-1115,-501
4566,-723,-676
4918,-782,-653
5318,-850,-626
5788,-930,-594
6351,-1026,-556
7018,-1140,-510
4504,-744,-679
4862,-807,-659
5230,-872,-630
5691,-953,-599
6246,-1052,-564
6883,-1165,-519
4448,-766,-683
4796,-829,-663
5161,-896,-635
5381,-938,-580
5359,-939,-497
5337,-940,-415
4401,-788,-687
4732,-851,-666
5095,-920,-640
5268,-955,-581
5248,-956,-500
5222,-956,-419
4347,-809,-690
4678,-873,-670
5035,-944,-644
5161,-971,-582
5133,-970,-501
5109,-971,-422
4298,-830,-692
4599,-891,-670
4702,-914,-613
4817,-941,-554
4595,-901,-459
4492,-885,-381
4264,-854,-697
4489,-902,-664
4604,-928,-611
4685,-948,-550
4371,-888,-446
4294,-876,-373
4206,-872,-697
4378,-911,-658
4422,-923,-596
4415,-925,-527
4135,-870,-431
0,0,0
