x,y,z
5883,115,-491
5814,109,-388
5806,105,-291
7847,136,-263
5082,84,-85
0,0,0
5678,93,-438
5170,81,-312
5067,76,-221
5031,72,-136
5016,68,-52
5005,65,30
5046,67,-357
5044,64,-272
5036,60,-188
5019,57,-104
5065,54,-20
5021,51,63
5085,53,-327
5075,49,-241
5080,46,-157
5116,44,-73
5598,45,13
7822,58,149
5110,38,-295
5105,35,-210
5099,33,-125
5096,30,-39
5238,28,46
8313,41,212
5113,24,-263
5104,22,-177
5101,19,-92
7921,26,-10
7806,22,119
8244,20,264
5103,11,-230
5106,9,-144
5097,6,-59
7819,7,40
7835,4,171
8133,0,314
5101,-1,-196
5103,-3,-111
5152,-5,-25
7793,-11,91
8242,-14,235
8134,-17,368
5097,-13,-163
5087,-15,-77
5393,-18,8
7804,-28,143
8135,-32,286
8519,-36,442
5102,-25,-129
5100,-26,-44
5380,-29,43
7974,-46,199
8017,-48,335
10406,-66,610
5091,-36,-95
5336,-39,-10
7619,-57,112
8061,-63,255
8398,-68,407
10547,-87,690
5094,-46,-61
5324,-49,24
7877,-75,169
8016,-78,307
10482,-104,579
10543,-106,760
5217,-58,-29
5310,-59,59
8033,-91,225
8028,-92,361
10550,-123,653
10552,-125,834
5316,-69,6
7777,-101,139
8035,-106,280
10554,-140,546
10549,-141,726
10557,-142,906
5312,-78,41
7960,-117,196
10519,-156,438
10556,-157,619
10538,-157,798
10545,-158,979
7632,-124,111
8062,-131,254
10547,-172,511
10545,-172,691
10548,-172,871
10540,-172,1051
