x,y,z
2057,90,-841
2162,89,-838
2265,87,-830
2381,86,-823
2505,85,-816
2641,83,-809
2092,84,-840
2200,83,-837
2304,81,-828
2422,79,-821
2547,78,-812
2686,76,-804
2120,78,-836
2231,76,-832
2345,74,-826
2470,73,-820
2591,71,-809
2741,69,-802
2157,72,-834
2274,70,-831
2380,68,-821
2512,66,-816
2641,64,-806
2796,62,-799
2200,66,-834
2310,64,-828
2432,62,-822
2552,59,-811
2694,57,-804
2837,54,-792
2233,60,-830
2351,58,-825
2471,55,-817
2600,53,-808
2745,50,-800
2903,48,-791
2277,54,-830
2390,52,-821
2512,49,-813
2650,46,-805
2799,44,-796
2963,41,-787
2314,48,-826
2441,46,-821
2564,43,-811
2702,40,-802
2853,37,-792
3022,33,-781
2356,42,-823
2482,40,-817
2611,37,-807
2761,33,-800
2919,30,-790
3092,26,-778
2401,37,-821
2535,34,-815
2664,30,-804
2807,27,-793
2974,23,-784
3162,19,-774
2443,31,-817
2586,28,-813
2717,24,-801
2864,20,-789
3037,16,-779
3230,12,-768
2491,25,-814
2636,22,-809
2777,18,-798
2939,14,-789
3106,10,-775
3319,5,-766
2540,19,-811
2689,16,-806
2838,12,-795
2994,8,-782
3181,3,-771
3391,-1,-759
2597,14,-810
2748,10,-803
2895,6,-790
3069,1,-779
3258,-3,-767
3473,-8,-753
2652,8,-807
2805,4,-799
2967,0,-788
3141,-4,-775
3337,-9,-761
3558,-15,-747
2708,3,-804
2863,0,-794
3026,-5,-782
3213,-10,-770
3423,-16,-757
3645,-22,-740
