x,y,z
3187,481,-561
3183,475,-508
3182,469,-456
3180,463,-404
3168,457,-351
3185,454,-302
3177,459,-547
3202,457,-499
3257,459,-454
3285,458,-405
3313,457,-355
3334,455,-304
3364,465,-567
3354,458,-510
3345,451,-454
3376,450,-403
3398,447,-351
3428,446,-299
3527,465,-580
3485,454,-516
3454,444,-455
3470,441,-401
3506,441,-349
3552,441,-296
3662,461,-588
3608,448,-520
3570,437,-456
3560,431,-397
3555,425,-339
3573,422,-284
3574,428,-559
3568,421,-500
3575,417,-443
3880,446,-417
4061,462,-371
4067,457,-307
4472,508,-682
4867,546,-662
5295,586,-634
5202,568,-539
5158,556,-451
7094,756,-507
4589,495,-680
4969,528,-655
5384,564,-622
5175,535,-514
5212,532,-434
0,0,0
4687,478,-675
5076,510,-647
5211,516,-580
5120,500,-486
5161,497,-407
5204,495,-327
4796,461,-669
5198,492,-640
5143,480,-550
5127,472,-465
5139,466,-383
7981,714,-467
4902,443,-662
5206,464,-618
5169,453,-529
5204,450,-449
0,0,0
8268,694,-446
4999,424,-653
5218,435,-596
5307,436,-520
5188,420,-424
0,0,0
5175,406,-256
5121,406,-646
5167,403,-567
5185,398,-484
5184,391,-400
5153,383,-314
5326,390,-239
5255,388,-638
5189,377,-545
5250,375,-466
7129,501,-517
8035,555,-452
5591,380,-224
5359,367,-625
5939,400,-596
6106,404,-513
7381,480,-500
8374,535,-431
5635,353,-199
5319,336,-595
6079,377,-581
6289,383,-498
7666,458,-482
8609,505,-402
5648,326,-172
