x,y,z
3776,-598,1975
3594,-578,1966
3413,-559,1954
3246,-542,1944
3081,-525,1930
2931,-510,1920
3814,-584,1979
3629,-565,1970
3425,-543,1945
3296,-532,1957
3105,-512,1928
2964,-499,1925
3842,-569,1977
3665,-552,1973
3470,-532,1954
3286,-513,1935
3136,-500,1931
2993,-488,1927
3885,-556,1983
3697,-538,1974
3510,-520,1960
3313,-500,1935
3174,-489,1938
3019,-476,1927
3927,-542,1986
3736,-525,1977
3543,-507,1961
3350,-488,1939
3201,-476,1936
3054,-464,1931
3969,-528,1989
3775,-511,1979
3585,-494,1966
3406,-479,1953
3232,-464,1937
3088,-453,1935
4008,-513,1989
3817,-497,1982
3623,-481,1967
3444,-466,1955
3270,-452,1941
3112,-440,1931
4053,-499,1992
3859,-484,1984
3668,-468,1973
3482,-453,1958
3307,-440,1944
3152,-429,1936
4106,-485,1997
3899,-469,1985
3703,-454,1971
3523,-441,1961
3347,-428,1947
3188,-417,1938
4147,-470,1996
3949,-456,1989
3747,-441,1974
3567,-429,1964
3390,-416,1951
3227,-405,1941
4204,-456,2002
3995,-442,1991
3796,-428,1979
3612,-416,1968
3428,-403,1952
3265,-393,1943
4263,-442,2007
4046,-428,1994
3843,-415,1981
3649,-402,1966
3475,-391,1957
3308,-381,1947
4310,-427,2006
4099,-414,1997
3897,-402,1986
3700,-390,1971
3519,-379,1960
3345,-369,1947
4379,-414,2014
4154,-400,2000
3947,-388,1988
3753,-377,1977
3564,-367,1962
3393,-357,1952
4439,-399,2017
4212,-386,2003
3997,-374,1989
3802,-364,1978
3623,-355,1971
3440,-345,1956
4509,-385,2023
4275,-372,2008
4052,-361,1992
3856,-351,1982
3659,-341,1966
3489,-333,1959
