x,y,z
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3368,-1522,1964
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3312,-1495,1951
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3303,-1490,1965
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3254,-1466,1954
0,0,0
0,0,0
0,0,0
0,0,0
3403,-1503,1955
3202,-1439,1941
0,0,0
0,0,0
0,0,0
0,0,0
3371,-1486,1954
3163,-1418,1934
0,0,0
0,0,0
0,0,0
0,0,0
3367,-1480,1968
3135,-1402,1932
0,0,0
0,0,0
0,0,0
0,0,0
3346,-1466,1972
3104,-1384,1929
0,0,0
0,0,0
0,0,0
0,0,0
3301,-1441,1960
3077,-1367,1927
0,0,0
0,0,0
0,0,0
3422,-1463,1942
3270,-1421,1956
3053,-1351,1925
0,0,0
0,0,0
0,0,0
3379,-1438,1931
3234,-1399,1948
3032,-1336,1925
0,0,0
0,0,0
0,0,0
3367,-1426,1937
3196,-1376,1937
3006,-1318,1921
0,0,0
0,0,0
0,0,0
3384,-1425,1960
3173,-1359,1935
2991,-1304,1922
0,0,0
0,0,0
0,0,0
3388,-1418,1973
3158,-1344,1937
2973,-1289,1921
0,0,0
0,0,0
3475,-1423,1933
3384,-1408,1982
3131,-1325,1931
2955,-1273,1920
0,0,0
0,0,0
3482,-1416,1947
3364,-1390,1980
3115,-1309,1930
2940,-1258,1918
