x,y,z
10827,-1581,1798
10438,-1528,1929
10426,-1531,2125
10414,-1534,2323
9743,-1441,2364
8649,-1284,2270
10448,-1550,1806
10440,-1553,2001
10423,-1555,2198
10388,-1555,2392
9350,-1405,2337
8409,-1269,2271
10426,-1571,1874
10426,-1575,2072
10418,-1578,2271
10026,-1524,2382
8464,-1291,2179
7949,-1217,2207
10430,-1595,1948
10428,-1598,2147
10416,-1601,2346
9596,-1480,2351
8615,-1333,2283
7674,-1192,2190
10421,-1616,2019
10424,-1620,2220
10337,-1611,2403
8818,-1378,2225
8266,-1297,2253
7461,-1175,2186
10416,-1636,2092
10413,-1639,2292
9905,-1563,2375
8480,-1342,2202
7849,-1246,2198
7295,-1163,2194
10408,-1655,2164
10414,-1659,2368
9456,-1510,2336
8535,-1367,2280
7610,-1223,2189
7093,-1144,2188
10396,-1672,2235
10221,-1647,2397
8530,-1378,2170
8107,-1314,2227
7397,-1202,2184
6874,-1122,2175
10392,-1689,2308
9792,-1595,2367
8616,-1407,2256
7776,-1273,2195
7253,-1191,2197
6667,-1099,2162
10385,-1705,2381
9388,-1544,2338
8456,-1394,2276
7561,-1250,2191
7018,-1164,2180
6448,-1073,2141
10086,-1671,2385
8463,-1405,2169
8007,-1332,2215
7360,-1228,2189
6816,-1141,2171
6335,-1064,2155
9666,-1616,2356
8451,-1415,2229
7720,-1296,2193
7205,-1213,2198
6613,-1117,2158
6115,-1036,2129
9320,-1570,2339
8340,-1408,2261
7514,-1271,2191
6964,-1181,2178
6411,-1091,2143
5930,-1013,2113
8401,-1426,2170
7926,-1348,2208
7325,-1248,2192
6766,-1156,2168
6242,-1070,2136
5765,-992,2100
8606,-1471,2286
7665,-1312,2192
7152,-1227,2195
6563,-1129,2154
6059,-1046,2122
5603,-970,2087
8222,-1414,2244
7451,-1283,2187
6930,-1196,2180
6396,-1107,2150
5890,-1023,2110
5454,-950,2077
