x,y,z
5664,704,2092
5334,662,2076
5012,622,2052
4720,585,2032
4465,553,2017
4222,523,2001
5812,728,2104
5459,683,2084
5129,641,2061
4831,603,2041
4563,570,2025
4317,539,2010
5964,752,2115
5584,703,2089
5256,661,2071
4940,621,2048
4659,585,2029
4409,554,2016
6128,777,2128
5724,725,2098
5377,680,2077
5055,639,2056
4762,601,2035
4500,568,2020
6312,805,2145
5874,747,2109
5514,701,2087
5181,658,2065
4869,618,2041
4600,583,2026
6454,827,2146
6037,772,2122
5645,720,2093
5300,675,2071
4991,635,2052
4710,599,2034
6645,854,2160
6218,797,2138
5796,742,2105
5435,695,2081
5110,653,2059
4815,615,2040
6834,881,2171
6426,826,2161
5955,764,2116
5567,713,2087
5243,671,2070
4935,631,2049
7037,909,2183
6541,843,2150
6126,788,2130
5716,734,2098
5367,688,2076
5051,647,2055
7259,938,2198
6744,870,2166
6327,814,2151
5879,755,2111
5509,707,2086
5184,664,2067
7486,968,2212
6950,897,2180
6459,832,2146
6041,776,2122
5649,725,2094
5313,681,2075
7732,1000,2228
7157,923,2191
6662,857,2162
6229,800,2139
5804,744,2104
5447,697,2082
7994,1033,2244
7397,953,2209
6864,882,2175
6437,825,2160
5967,764,2116
5589,714,2090
8285,1068,2265
7637,982,2223
7070,907,2186
6583,842,2157
6148,785,2131
5743,732,2101
8593,1105,2286
7898,1013,2240
7302,934,2202
6778,864,2168
6379,812,2160
5916,752,2116
8924,1144,2308
8192,1047,2262
7551,962,2220
6982,887,2179
6487,822,2145
6084,770,2126
