x,y,z
2729,961,-223
2248,791,-146
2333,820,-114
2534,891,-82
2848,1002,-46
2861,1007,0
2783,1000,-237
2263,812,-156
2356,845,-123
2516,902,-90
2800,1004,-54
2800,1004,-9
2730,1000,-243
2331,852,-169
2329,851,-130
2609,953,-103
2731,998,-63
2749,1005,-18
2663,994,-248
2682,1000,-205
2255,840,-135
2338,870,-101
2706,1007,-72
2682,998,-27
2563,975,-249
2661,1010,-213
2246,852,-143
2320,879,-109
2525,957,-77
2664,1010,-37
2538,983,-256
2607,1008,-220
2257,872,-152
2319,895,-118
2358,909,-81
2594,1000,-46
2551,1006,-268
2560,1007,-226
2320,912,-166
2313,908,-127
2318,909,-88
2587,1015,-56
2511,1007,-275
2529,1013,-234
2520,1007,-191
2270,907,-134
2314,923,-98
2538,1012,-65
2470,1008,-281
2487,1013,-241
2486,1011,-199
2255,915,-142
2332,946,-108
2505,1016,-74
2425,1006,-287
2448,1013,-248
2449,1012,-206
2254,930,-151
2337,963,-118
2470,1017,-83
2259,953,-278
2284,961,-241
2331,978,-206
2266,950,-162
2300,963,-126
2424,1014,-92
2251,965,-287
2264,967,-250
2266,966,-211
2261,962,-172
2265,963,-134
2381,1012,-100
2281,993,-302
2286,992,-263
2272,984,-222
2271,981,-183
2261,975,-143
2344,1011,-109
2150,950,-295
2291,1009,-274
2310,1015,-236
2315,1015,-197
2256,988,-153
2268,992,-115
2109,946,-299
2259,1010,-281
2229,994,-238
2256,1004,-202
2276,1011,-165
2260,1002,-125
2220,1010,-326
2239,1015,-289
2242,1014,-250
2249,1015,-212
2227,1003,-172
2272,1022,-136
