x,y,z
2807,1005,658
2802,1007,710
8316,3004,2266
7492,2721,2187
6997,2556,2182
6497,2389,2157
2833,1004,646
2837,1009,699
8557,3059,2272
7778,2795,2216
7204,2604,2194
6650,2419,2159
2856,1002,632
2859,1007,686
8773,3104,2270
8108,2883,2253
7389,2642,2198
6842,2460,2171
2894,1005,622
2889,1006,674
2879,1007,725
8381,2946,2270
7535,2662,2187
7048,2505,2184
2919,1002,608
2920,1006,661
2909,1006,713
8662,3010,2287
7794,2722,2207
7277,2556,2203
2953,1002,596
2953,1005,650
2937,1004,700
8904,3057,2290
8149,2811,2251
7436,2580,2198
2981,1000,583
2984,1004,637
2974,1005,689
2972,1008,744
8460,2883,2278
7590,2599,2190
3015,999,570
3015,1002,624
3006,1003,677
2997,1004,730
8740,2940,2293
7784,2631,2191
3052,999,558
3055,1003,613
3049,1004,666
3039,1004,720
9043,3001,2311
8150,2718,2237
3089,998,545
3059,991,594
3043,989,646
3038,990,700
9301,3045,2314
8551,2812,2288
3050,972,520
3131,1001,588
3126,1002,643
3114,1001,697
9594,3097,2323
8832,2863,2303
3170,997,520
3175,1000,577
3168,1001,632
3159,1001,686
3154,1003,743
9156,2925,2325
3209,995,508
3218,1000,565
3207,999,619
3197,998,674
3190,1000,731
9478,2983,2345
3260,996,496
3262,999,553
3257,999,609
3241,997,663
3231,997,719
9765,3025,2351
3305,995,483
3302,995,539
3289,993,594
3286,995,652
3281,996,709
10071,3070,2359
3343,990,469
3349,993,527
3338,992,583
3335,994,641
3332,996,699
3324,996,757
