x,y,z
4157,1356,1996
3922,1304,1978
3717,1259,1968
3515,1215,1953
3378,1193,1969
3159,1141,1932
4136,1374,1993
3908,1322,1978
3699,1275,1966
3497,1230,1951
3359,1206,1966
3142,1154,1929
4113,1390,1989
3897,1341,1979
3691,1294,1968
3473,1242,1944
3320,1213,1950
3132,1169,1930
4101,1409,1989
3883,1358,1978
3673,1309,1965
3468,1260,1947
3324,1234,1959
3116,1183,1927
4088,1427,1988
3871,1375,1977
3660,1325,1963
3455,1276,1946
3304,1246,1953
3108,1198,1928
4078,1447,1988
3859,1393,1976
3652,1343,1964
3438,1289,1941
3284,1257,1946
3097,1212,1926
4071,1466,1989
3853,1412,1977
3643,1360,1963
3429,1305,1940
3255,1265,1933
3091,1228,1927
4062,1484,1987
3845,1429,1976
3636,1377,1963
3436,1327,1947
3247,1280,1932
3083,1242,1926
4054,1503,1985
3833,1446,1973
3631,1394,1963
3431,1344,1948
3245,1297,1934
3077,1257,1926
4056,1524,1988
3833,1465,1975
3626,1412,1962
3428,1360,1948
3241,1313,1934
3071,1271,1925
4051,1543,1987
3829,1484,1974
3627,1431,1964
3427,1378,1949
3243,1331,1937
3070,1288,1926
4047,1562,1985
3831,1504,1975
3623,1448,1962
3424,1394,1948
3245,1348,1939
3067,1302,1925
4048,1582,1985
3830,1522,1974
3626,1467,1964
3424,1411,1948
3242,1364,1937
3066,1317,1925
4058,1606,1989
3830,1540,1973
3627,1485,1963
3423,1427,1947
3238,1378,1935
3067,1333,1926
4064,1627,1989
3836,1561,1974
3628,1502,1963
3427,1445,1948
3239,1393,1934
3068,1348,1925
4067,1646,1988
3841,1580,1974
3634,1521,1963
3431,1463,1948
3244,1411,1935
3072,1364,1926
