x,y,z
2812,597,241
2819,602,286
2846,613,334
10609,2302,1417
10587,2315,1585
10568,2331,1755
2827,621,248
2824,624,292
2849,634,340
10616,2381,1438
10579,2391,1604
10571,2409,1775
2819,639,252
2824,645,297
10590,2435,1284
10527,2438,1445
10469,2443,1606
10453,2459,1774
2821,661,257
2817,664,301
4081,968,501
4062,970,564
4034,971,626
4007,972,687
2821,681,261
2822,686,306
3974,972,494
3957,975,556
3934,976,617
3908,977,676
2810,700,264
2884,722,317
3877,977,488
3856,978,547
3829,978,606
3814,982,666
2825,724,269
2873,741,320
3778,980,481
3753,980,538
3726,980,595
3703,981,652
2883,760,279
2872,762,323
3684,983,473
3657,983,529
3636,984,585
3618,986,642
2867,778,280
2861,781,325
3597,987,467
3570,986,521
3549,987,575
3532,989,630
2867,799,283
2865,803,329
3514,991,460
3486,989,512
3463,989,565
3448,992,620
2863,820,286
2866,825,331
3429,993,452
3401,991,503
3382,992,556
3366,994,608
2864,842,288
2879,851,335
3354,997,445
3326,995,495
3304,994,546
3293,998,598
3296,994,334
3291,998,386
3271,997,436
3249,997,486
3234,999,537
3219,1000,588
3220,996,328
3209,998,379
3189,997,428
3158,993,475
3124,989,521
3144,1001,576
3149,998,323
3139,1000,372
3128,1002,421
3110,1002,469
3090,1002,517
3074,1003,565
3073,998,316
3069,1002,365
3066,1006,414
3041,1003,461
3023,1003,508
3008,1005,555
