x,y,z
5102,-25,-263
5102,-23,-177
5093,-21,-91
5403,-20,-6
7793,-26,121
8169,-24,264
5107,-12,-230
5094,-10,-144
5091,-7,-58
7797,-8,40
7847,-5,172
8136,-1,315
5104,1,-196
5106,3,-111
5134,5,-25
7797,12,90
8318,17,235
8336,22,375
5105,15,-163
5100,17,-78
0,0,0
7809,35,140
8527,43,295
8543,48,439
5111,29,-130
5101,32,-45
5168,35,39
8211,61,200
8529,69,350
10383,90,600
5078,44,-97
5062,47,-13
5019,50,70
5013,53,154
5020,56,237
4969,59,318
5010,59,-64
5014,62,18
5012,66,101
5015,69,185
5012,72,268
5020,76,352
5053,76,-33
5021,79,49
5013,82,132
5015,86,216
5019,89,300
5016,93,383
5172,94,-2
5021,95,80
5015,99,163
5017,103,247
5010,107,330
5011,111,413
5046,109,28
5020,112,111
5021,116,194
5014,121,277
5007,124,360
5008,129,443
5021,126,59
5023,130,141
5018,134,224
5016,139,307
5002,143,390
5031,148,476
5023,144,89
5025,149,172
5018,153,254
5012,157,337
5002,161,419
10555,351,1061
5020,163,119
5020,167,201
5012,171,284
5006,176,366
5006,181,449
10557,392,1124
5017,182,148
5022,187,231
5009,191,313
5005,195,395
5013,201,479
10560,435,1186
5018,201,178
5022,206,260
5011,211,342
5006,216,424
10549,466,1070
10555,478,1246
5019,221,207
5013,226,289
5001,231,370
5006,236,453
10561,511,1132
10563,523,1308
