x,y,z
2738,285,-800
2892,294,-791
3051,303,-779
3239,314,-769
3434,325,-755
3651,338,-739
2788,277,-797
2950,286,-789
3112,294,-776
3306,306,-766
3506,316,-750
3724,328,-732
2833,268,-792
2996,277,-783
3174,286,-772
3371,297,-760
3572,307,-743
3821,321,-729
2890,260,-790
3061,269,-781
3242,278,-769
3433,287,-754
3656,298,-739
3910,312,-723
2946,252,-787
3125,261,-778
3308,269,-765
3510,279,-750
3729,289,-731
3999,302,-715
3006,245,-784
3187,253,-774
3375,261,-759
3579,270,-742
3827,281,-727
4096,293,-708
3064,236,-780
3258,245,-771
3451,253,-755
3663,261,-737
3921,272,-721
4205,285,-701
3127,229,-776
3331,237,-767
3520,244,-748
3754,253,-732
4025,264,-715
4322,276,-694
3197,221,-773
3395,228,-760
3608,236,-744
3844,244,-726
4121,255,-707
4442,267,-686
3266,213,-769
3475,220,-756
3693,227,-738
3948,236,-720
4235,246,-700
4574,259,-678
3344,205,-765
3550,211,-749
3779,219,-731
4054,228,-714
4351,238,-692
4714,250,-669
3417,197,-760
3628,203,-742
3879,211,-726
4157,219,-706
4474,229,-683
4861,242,-660
3488,189,-753
3722,195,-737
3984,203,-720
4284,211,-700
4609,221,-675
5011,233,-649
3571,181,-747
3816,187,-731
4089,194,-713
4400,203,-691
4760,212,-666
5152,223,-634
3656,173,-741
3914,179,-724
4194,186,-704
4521,194,-681
4916,204,-657
5410,217,-631
3749,165,-735
4025,171,-719
4328,178,-698
4672,186,-674
5074,195,-645
5571,207,-614
